Date,Close,High,Low,Open,Volume
2025-01-21,25.61421203613281,25.68249029241859,25.38986866249585,25.40937540683253,316100
2025-01-22,25.750770568847656,25.96536151737237,25.750770568847656,25.809294527334806,543400
2025-01-23,26.043392181396484,26.053144623396648,25.770277294317864,25.87757276074928,370100
2025-01-24,26.24822807312012,26.326260635556963,26.12142585682638,26.12142585682638,277300
2025-01-27,25.96536064147949,26.07265425167941,25.780032608671597,25.9165891273495,151200
2025-01-28,25.86781883239746,25.916588484875412,25.741014759246,25.916588484875412,130100
2025-01-29,26.07265281677246,26.111670025929143,25.936096305609933,25.936096305609933,173200
2025-01-30,26.891996383666992,26.960274641226206,26.336014160178543,26.336014160178543,652300
2025-01-31,26.65789794921875,27.155356203648434,26.61888260047837,26.96027387861772,526600
2025-02-03,26.56035804748535,26.59937525852076,26.140932331069838,26.336014665360825,283900
2025-02-04,27.145605087280277,27.330933131766077,26.784703301749307,26.784703301749307,502500
2025-02-05,27.20412826538086,27.428473517179437,27.126095700542297,27.360193395057983,282800
2025-02-06,27.535764694213867,27.691829810079643,27.311421322712174,27.311421322712174,739500
2025-02-07,27.54551887512207,27.72109259480808,27.360190853182072,27.72109259480808,496500
2025-02-10,27.59429168701172,27.769863554530144,27.506504823031,27.72109390140442,295000
2025-02-11,27.61379814147949,27.62355244409062,27.36994615753033,27.555274186255733,208000
2025-02-12,27.838144302368164,27.85765104779329,27.65281626750656,27.750357436404407,259500
2025-02-13,28.42338752746582,28.42338752746582,27.828389933441745,27.92592924166523,503300
2025-02-14,28.433141708374023,28.637978347739125,28.25756797761623,28.481913222719545,540100
2025-02-18,27.721094131469727,28.345354626786413,27.69183122308562,28.062487287512173,423800
2025-02-19,27.89666748046875,27.89666748046875,27.633306889932268,27.838143524941643,225800
2025-02-20,28.189289093017575,28.286830259103088,28.05273257676367,28.05273257676367,315800
2025-02-21,27.96494483947754,28.413631584830032,27.96494483947754,28.3258465845835,167600
2025-02-24,28.16977882385254,28.218550334236085,27.847894297092704,28.042976617741104,175400
2025-02-25,28.21855354309082,28.3551100668074,28.062488413002413,28.3551100668074,121000
2025-02-26,28.17953491210937,28.35510863973322,28.09174804829745,28.247813170531312,140300
2025-02-27,28.03322410583496,28.208797833541883,27.857650378128035,28.12101096968842,204700
2025-02-28,27.91617584228516,28.1600278253712,27.67232385919911,28.003960844588583,240400
2025-03-03,27.66257095336914,28.15027494416652,27.5942926923284,28.04297947084931,689000
2025-03-04,28.189289093017575,28.257567351144534,27.70158512303304,27.93568280537246,561400
2025-03-05,28.667240142822266,28.77453561673493,28.33560127840411,28.36486418777386,407200
2025-03-06,28.959861755371094,28.989122802378176,28.725764077099583,28.75502512410667,230200
2025-03-07,29.03789520263672,29.08666485610165,28.823304262327763,28.823304262327763,280900
